state,date,price,macd_12,macd_26,ema_100,rsi_6,opening_0,closing_0,min_0,max_0,opening_1,closing_1,min_1,max_1,opening_2,closing_2,min_2,max_2,opening_3,closing_3,min_3,max_3,opening_4,closing_4,min_4,max_4,opening_5,closing_5,min_5,max_5,opening_6,closing_6,min_6,max_6,opening_7,closing_7,min_7,max_7,opening_8,closing_8,min_8,max_8,opening_9,closing_9,min_9,max_9,opening_10,closing_10,min_10,max_10,opening_11,closing_11,min_11,max_11,opening_12,closing_12,min_12,max_12,opening_13,closing_13,min_13,max_13,opening_14,closing_14,min_14,max_14
LONG,2024-01-08 17:00:09,2266.99,13.887770455647114,7.157820748155398,67.09527173271367,2229.4667808645772,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2266.97,2265.47,2267.44
SHORT,2024-01-08 17:06:57,2264.11,13.624522592399444,7.138320906433348,2229.409157102201,62.744276142327934,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.12,2262.77,2268.52
SHORT,2024-01-08 17:07:47,2261.81,13.44024908812571,7.124671017227886,2229.359256112102,58.00560436936524,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2261.37,2261.37,2268.52
SHORT,2024-01-08 17:09:12,2260.29,13.318995526872186,7.115689271949847,2229.3333155180426,56.095940280520004,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2260.28,2259.87,2268.52
LONG,2024-01-08 17:10:09,2259.17,13.214494102370736,7.107948425690481,2229.317671953686,55.075071469166225,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2259.62,2258.0,2268.52
LONG,2024-01-08 17:11:01,2261.58,13.445035412912148,7.1250255598046595,2229.3657907655675,58.76206821214128,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2261.92,2258.0,2268.52
LONG,2024-01-08 17:13:31,2263.75,13.598197806074495,7.136370922261129,2229.4051967061614,62.51214767124908,2226.04,2224.7,2222.72,2228.24,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.0,2258.0,2268.52
LONG,2024-01-08 17:15:18,2264.92,13.381393722228495,7.605530807013614,2230.128432689433,64.35330928857425,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.99,2258.0,2268.52,2264.98,2264.93,2264.84,2266.11
SHORT,2024-01-08 17:16:44,2266.29,13.51620853704344,7.615517089592499,2230.1630861547796,66.37471739438733,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.99,2258.0,2268.52,2264.98,2266.45,2264.84,2266.62
SHORT,2024-01-08 17:18:00,2264.99,13.38777548861026,7.6060035304493,2230.136749521116,64.90263187654915,2224.7,2226.47,2223.77,2229.46,2226.46,2229.36,2223.63,2229.37,2229.37,2227.99,2220.33,2229.37,2227.99,2224.5,2223.96,2229.46,2224.5,2240.61,2223.97,2242.0,2240.61,2265.03,2239.81,2268.38,2265.03,2247.53,2244.37,2269.64,2247.53,2257.79,2246.56,2259.61,2257.8,2265.19,2253.3,2266.46,2265.2,2266.78,2259.31,2268.9,2266.78,2271.08,2262.66,2275.0,2271.07,2267.12,2263.68,2272.99,2267.12,2265.47,2259.63,2269.22,2265.48,2264.99,2258.0,2268.52,2264.98,2265.02,2264.54,2266.62
