date,result,prediction
2024-01-07 21:55:03,SHORT,LONG
2024-01-07 22:04:03,LONG,LONG
2024-01-07 22:07:08,SHORT,LONG
2024-01-07 22:09:23,LONG,LONG
2024-01-07 22:11:01,SHORT,LONG
2024-01-07 22:23:04,LONG,LONG
2024-01-07 22:26:02,LONG,LONG
2024-01-07 22:29:47,SHORT,LONG
2024-01-07 22:33:40,LONG,LONG
2024-01-07 22:36:14,LONG,LONG
2024-01-07 22:37:07,LONG,LONG
2024-01-07 22:41:15,SHORT,LONG
2024-01-07 22:45:38,LONG,LONG
2024-01-07 22:55:06,SHORT,LONG
2024-01-07 23:00:51,LONG,LONG
2024-01-07 23:08:49,LONG,LONG
2024-01-07 23:11:33,SHORT,LONG
2024-01-07 23:12:56,SHORT,LONG
2024-01-07 23:16:48,SHORT,LONG
2024-01-07 23:20:53,LONG,LONG
2024-01-07 23:27:23,SHORT,LONG
